,mi_fecha,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00
grupo,0.03673852405873568,0.0018143987043999553,0.0029027446285776293,0.0030094848191204652,0.0009937184701505142,0.0010999014952441722,0.0010365352718355596,0.002501574311876481,0.0021590369101321086,0.0022828737873999624,0.0026888044877543976,0.0038730380131083765,0.0030251466594171687,0.0033657977978416203,0.001595692205773784,0.0034068338017419295,0.0027322288838401375,0.0025915653663108004,0.0037882000577615384,0.0032030274539973135,0.002824544306445577,0.0020083164209195514,0.0030936772917383214,0.0030891742938551096,0.002692123911621439,0.0024703583321200808,0.002327124242424229,0.002633709291177352,0.002356398007685399,0.002982669046537731,0.0034502543492272732,0.0033565112413874365,0.003852483527602006,0.0016895895729534711,0.0033468395188058124,0.0025372076762183913,0.0030455934239979757,0.0035157785162446505,0.002134564220022183,0.0033628741055367574
señores,0.03639952555795922,0.011529665549486813,0.007204273982111601,0.0029514382585041983,0.00035456949815979553,0.0004373336963432333,0.0006325009639112253,0.0016494461564795229,0.0008578391027554484,0.0014612784526498094,0.0021662822961706204,0.002265757465277849,0.0021613330117703673,0.002803001194745503,0.0014672953027479595,0.0028316757436620144,0.002342716181108647,0.0026620833316319146,0.0024201369015283444,0.001878860268242534,0.0018150625918863029,0.00044706154520524495,0.0017601310531449924,0.002822583598820716,0.003071825723527436,0.0020611742780033233,0.0027676414280439258,0.0029407632074627435,0.0021474873961774697,0.0024717711552135198,0.0030280341174454026,0.0029007855634945448,0.004343707551224981,0.0008896179364977967,0.00273766195495296,0.002350364069876586,0.0028748161047837083,0.002662027036263096,0.0017240846722483818,0.0026775553376101324
pandemia,0.0362830733950561,0.0,0.0,0.0,0.0015045872964387346,0.0027172320364379204,0.0018803702945841408,0.0012263838363234321,0.0015740254718681597,0.002219218790071665,0.0017564822980262588,0.0016530123566249938,0.0018865722390384195,0.0013138293446683395,0.0015056564874697921,0.00131939492954921,0.0015349747572431325,0.001289953736871644,0.0013650407937008853,0.0008817246799332334,0.0009764107670772739,0.0007546043583478258,0.000814518503002347,0.0005822076701235294,0.0006475233758388003,0.0008351930960257394,0.0014800290546238969,0.0007046083197670935,0.0009286113346950101,0.0016485424179464403,0.00043021955524670606,0.00039522873991006797,0.0006906463710471807,0.0003282927524981062,0.0001554487342054255,0.0006972393977534066,0.00024369659837523557,0.0003921590660243344,0.0004865647396740282,0.0002904711131315391
presupuesto,0.036007889932878845,0.0,8.256587811336629e-05,0.00042526122963776753,0.00015625439281519952,0.00022975055986623868,0.00017145691362216065,0.00014073735277081304,0.0001813599147702729,0.0001327597195026816,0.00014515497646315316,0.00019792179977780208,0.0013381644675972638,0.00275107650962915,0.00011937040468258122,0.00010438870008921241,0.0001724468157694467,6.608893639602468e-05,0.00024831611701675344,0.0001122818247105087,9.881431786503019e-05,5.868503546226265e-05,0.00038743609961418795,0.00023728009549502793,0.002157604238593968,0.0002728264375848827,0.0007182039403640287,0.0003077667018547057,0.0003948874993510283,0.00029743629425233646,0.00014557257164360212,0.00028845382221382956,9.344893098147593e-05,0.000317606307531789,0.00027029536146516416,0.0007236890768283889,0.001377246213501281,0.00018125614198395945,0.0,8.842344789726525e-05
muchas,0.035193152634080516,0.0020367943595042187,0.004365233208046151,0.0038158435883312693,0.005746007767984395,0.004373806477637312,0.004341786695517538,0.0036758405660017057,0.005772344866016758,0.0050106304263570385,0.004248132561957075,0.004635387567910752,0.006317633890011144,0.008030766738757307,0.006981828235949253,0.004192591272262417,0.0056235352431345895,0.005663724256534867,0.005832327198228292,0.007239972068379809,0.008512832097204222,0.00513358703520489,0.0065882863425032355,0.0074121288698679715,0.005855426326330993,0.006160046069828817,0.005161624028264711,0.003379365931955822,0.00743181466067093,0.005053089707564158,0.006478197667916718,0.006874962401027429,0.007251983220063198,0.004261432156886708,0.005292774959172826,0.002184204111782791,0.005697154115442783,0.005278809059556905,0.0037910501892043447,0.005591150831950983
señor,0.033525936748221685,0.00735289072790323,0.009930498614252612,0.006638975427946043,0.0021656164092151283,0.00811412543924216,0.00834709167702518,0.006259799573297065,0.0067988087598133354,0.002310264463005438,0.0077970131549994735,0.0064110958999847745,0.004560548165437216,0.0053370198738099915,0.0028546976507056376,0.006160936016248237,0.0049092935446767814,0.007337367898674117,0.004187595203199472,0.006087434607949204,0.0030318252769345115,0.004757022873175652,0.004676885446139041,0.00406385860024491,0.005277637395940273,0.0037153258688949788,0.0029220361688566373,0.004789364987203883,0.004928815834386459,0.0031458757449048164,0.005633618663993444,0.0056314267667730905,0.004613223793497161,0.0028581676473635976,0.0061024315385612045,0.003934045978640385,0.003209622679370093,0.0035160298593753282,0.005384707581191715,0.004053204965513877
señorías,0.03341660528495716,0.0,0.0011726355328871283,0.0025474107619221785,0.002872863071630765,0.0012388230048660583,0.0014811597525953935,0.0022493763419026104,0.002408398788866936,0.004005596574755711,0.002309042855387715,0.0030692757532590933,0.0030735527121081305,0.0043755212271089595,0.0027617261114970116,0.002510514768087341,0.003217020998167101,0.00240016542802237,0.0030733939371479072,0.002583394854368567,0.0018244859824100277,0.0022795571543698183,0.0034047368450791948,0.0032399115202892395,0.0036572806710742523,0.0025441969628243527,0.00265413090491041,0.0034342007274191276,0.003637671019047937,0.005525020433754974,0.0033029592308187502,0.002819953412063952,0.004770464957174398,0.002746635731544286,0.003088043984039395,0.0032998261642606017,0.003705655587411337,0.004783912495786678,0.002737635250066796,0.0027101222754394075
diputados,0.033020863365119,0.023259981352240253,0.008062188268359749,0.0025092744306820154,0.00031604188751229855,0.0005614041593792952,0.0007704582379568725,0.0016784664927376185,0.0009234280757045537,0.0014084443430325926,0.0017496144867970955,0.0024749680537555154,0.0018864624744696302,0.00233847658171163,0.000625979734961902,0.002594881922164579,0.002198387741338245,0.0027625879943682006,0.0025097311491355215,0.001890664959026289,0.0022937576816047375,0.0009364481978802727,0.002077783007359194,0.0026429530116627545,0.002847038916104513,0.001845375360586635,0.0007960910646773002,0.002530527914806471,0.0019143535213741263,0.002570241735377487,0.0031415951174859295,0.0028493485718222734,0.004513443653532542,0.000558976292960112,0.002693472513074719,0.002493175568995318,0.0027215298398599796,0.002273293240974058,0.0018573899731740397,0.002647801846271972
guerra,0.03166820045078489,0.0,0.00011088980292842785,0.00011916363444737215,0.00054513654451793,0.00018271506014375634,7.883194095039336e-05,0.00019920756968556523,0.0001405876815386476,5.191379539427691e-05,0.00018490063460474703,0.0003214131911824413,0.0001951161963412805,8.735358140202001e-05,4.990872741791044e-05,9.486056533970869e-05,0.00027519968854042536,0.00027440187825005885,7.684937016943361e-05,0.00016152746574625156,5.1178582933419495e-05,0.0001586964387778914,6.75076149113448e-05,0.0001587444918903255,0.00016411621197549365,2.9929327164992588e-05,0.0,0.0005086538101418361,0.0029770191944878174,0.001246987883805396,0.0008046723714252843,0.0007673260803799522,0.0017484370083146958,0.0006082664464808723,0.001006333940010408,0.0009458372771575798,0.0005440761471509339,0.00038847558384586797,0.0009107297912694318,0.00034075333562888537
crisis,0.03155533239716979,0.0,0.0010035987501174736,0.001090885652626725,0.00569655916240408,0.005208856307636273,0.0035919987943443805,0.0020342251816915825,0.00154782657248704,0.0011451126904082768,0.0014341683606447862,0.000993492782340967,0.0013082315447319837,0.0011057269943430023,0.0009132568379250808,0.0009740149201302577,0.0010029340337280427,0.00035197940360030664,0.0011887951800993142,0.0008909662976239437,0.0009792379346511824,0.000579546340119645,0.0006283904604127373,0.0006819862566224352,0.0012945122944357306,0.0004203538765641362,0.0005855334857878593,0.0007033354501444851,0.0012376248970411025,0.0008639860682077553,0.000710687584200046,0.0007557097958550272,0.0021645973816610477,0.000991172579202709,0.000991857397387858,0.0012973363938869537,0.0008251389128541809,0.0004879294946691447,0.0011406969316495408,0.00045199043428031585
